"site","job_url","job_url_direct","title","company","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","emails","description","company_url","company_url_direct","company_addresses","company_industry","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009231988435","","ERP Developer","Shelby Management Solutions","India","","2024-04-11","yearly",500000.0,800000.0,"INR",False,"","**JD For ERPNEXT DEVELOPER expert level (Male)**

1. Educational qualification: Any degree

2. Experience: 2-3 Years

3. Functional Knowledge of ANY ERP( ERPnext, SAP, Oracle)

4. Implementation Knowledge of ERP Modules Like:- Buying, Sales, Manufacturing, Accounting, HR

5. Programming Languages:-Python, Javascript, Frappe . FrameWork,jinja2,MariaDB/Mysql, Html, Css, BootStrap

6. Work location ( on - site): Bangalore.

7. Employment type : Fulltime

8. CTC – 7 to 8 lac

Job Type: Full-time

Pay: ₹500,000.00 - ₹800,000.00 per year

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Day shift

Education:

* Bachelor's (Preferred)

Experience:

* total work: 1 year (Required)
* software development: 1 year (Required)
* HTML5: 1 year (Required)

Work Location: In person","https://www.glassdoor.co.in/Overview/W-EI_IE1459547.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009232207446","","India-Bangalore: Developer - Business Intelligence","Wesco","Bengaluru","","2024-04-11","yearly",406000.0,800000.0,"INR",False,"","As a Developer - Business Intelligence, you will report to the Business Intelligence Manager who is responsible for tools and technology supporting the company’s profitability initiative. You will be responsible for creating Power BI reporting and design, PowerApps applications, SQL table design, automation tooling, and possibly machine learning models.

**Responsibilities:**

* Develop and maintain new and existing Power BI reporting
* Develop and maintain PowerApps for the business
* Work with SQL databases to create new tables and views, along with querying existing data
* Participate in User Acceptance Testing for new enhancements
* Partner with Profitability team to provide technical support for existing and new toolsets
* Partner with Business Units to develop enhancements to better support the business
* Work with IT to automate and improve processes as they arise for the new consolidated organization
* Responsible for maintaining process documentation and technical specs based on changing IT landscape and business requirements

**Qualifications:**

* Associates’ Degree (U.S.)/College Diploma (Canada) required; Bachelor’s Degree - Computer Science, Software Engineering, or related discipline preferred
* Licenses/Certificates/Designations - Power BI or Tableau certified preferred
* 2-4 years experience in BI development or coding with SQL
* 2-4 years Programming background/knowledge (SQL, Python, DAX, R, or M)
* Experience with Power BI or other visualization software
* Intermediate/expert knowledge of Access and Excel which include Pivot tables, VLOOKUPs, complex logic statements, VBA knowledge, complex queries/macros
* Possess strong analytical and problem-solving skills
* Decision making skills along with strong oral, written, and interpersonal skills
* Knowledge of star schema data modeling
* Experience with Microsoft PowerApps and/or Power Automate
* Knowledge of SSRS and Report Builder
* Interest in AI / ML development or knowledge of Azure Cognitive

*Wesco International, Inc., including its subsidiaries and affiliates (""Wesco"") provides equal employment opportunities to all employees and applicants for employment. Employment decisions are made without regard to race, religion, color, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, or other characteristics protected by law. US applicants only, we are an Equal Opportunity and Affirmative Action Employer.*","https://www.glassdoor.co.in/Overview/W-EI_IE7599.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009231517123","","Manhattan OMS Developer","Spruce","Bengaluru","","2024-04-11","yearly",1000000.0,2100000.0,"INR",False,"","Job Title: Manhattan OMS Developer

Duration: Full time /Part-time

Location: Bangalore/Remote

Key skills : Manhattan OMS and SQL Development

*What Is Manhattan Order Management and Its OMS Alternatives? (fabric.inc)*

*Order Management System (OMS) | Manhattan*

* 7+ years of experience in Manhattan Order Management System
* Having end to end implementation and Go-Live experience of Manhattan Active OMNI suite encompassing Active POS. Having experience working on Manhattan DOM
* Experience as a key techno functional resource with sound experience in design, configuration, setup and implementation of MAO
* Experience working with and validating Order Configuration, Available to Commerce, Allocation, Release and Fulfilment Optimization Strategy, Fulfilment Outage
* Experience working with Active POS and Manhattan Customer Service config screens. Experience in requirements gathering, designing of extensions, and creating HLD’s.
* Should have experience in customizing and implementing Order Management system to support – Inventory as Service, Promise Date, Third Party Logistic, Ship from Store, and Same day Delivery functionalities.
* Proficiency in programming languages and technologies relevant to OMS development (e.g., Java, .NET, Python, RESTful APIs).
* Experience with database design and management (SQL, NoSQL).

Job Type: Full-time

Pay: ₹1,000,000.00 - ₹2,100,000.00 per year

Schedule:

* Monday to Friday

Work Location: In person","https://www.glassdoor.co.in/Overview/W-EI_IE1170343.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009232128340","","Backend Developer-Python/Django/ORM/Id:fodb","Gmware Private Limited","India","","2024-04-11","","","","",False,"","Django Developer

Experienced Reuired-3+years

Location-Bangalore

Having proficiency in English language

Experience with Python Programming language

Must be a good Programmer

Experience with ORM(Object Relation Mapping)

Experience with DRF, Django, JavaScript or jQuery

Contact Details-08071174701

Job Type: Full-time

Benefits:

* Provident Fund

Schedule:

* Day shift
* Monday to Friday

Tipe Lokasi:

* In-person

Work Location: In person

**Speak with the employer**  
+91 8054942360","https://www.glassdoor.co.in/Overview/W-EI_IE4013054.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009231950772","","Generative AI Researcher & Developer","McKinley Rice","Bengaluru","","2024-04-11","yearly",875384.0,1155384.0,"INR",False,"","**Basic Requirements**


* Minimum qualification: Bachelor’s degree or more in IT-related field.
* Interface with clients via Slack, Zoom, and email.
* Work with modern tools including Jira, Slack, GitHub, Google Docs, etc.


**Technical Skills**


* Solid experience in developing and implementing generative AI models, with a strong understanding of deep learning techniques such as GPT, VAE, and GANs.
* Proficient in Python and have experience with machine learning libraries and frameworks such as TensorFlow, PyTorch, or Keras.
* Strong knowledge of data structures, algorithms, and software engineering principles.
* Experience with natural language processing (NLP) techniques and tools, such as SpaCy, NLTK, or Hugging Face.
* Experienced or capable users of TouchDesigner, a node-based visual programming software developed by Derivative, for real-time interactive multimedia content.
* Knowledge of software development methodologies, such as Agile or Scrum is a must.


**Soft Skills**


* A quick and critical thinker with the ability to come up with a number of ideas about a topic and bring fresh and innovative ideas to the table to enhance the visual impact of our content.
* Potential to apply innovative and exciting ideas, concepts, and technologies.
* Stay up-to-date with the latest design trends, animation techniques, and software advancements.
* Multi-tasking and time-management skills, with the ability to prioritize tasks.
**Apply Now**","https://www.glassdoor.co.in/Overview/W-EI_IE3169480.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009232230306","","Python Developer","Black & White Business Solutions","Bengaluru","","2024-04-11","yearly",300000.0,600000.0,"INR",False,"","### **Job Information**


Industry


**IT Services**Province


**Karnataka**City


**Bangalore North**Postal Code


**560001**Country


**India**### **Job Description**


**C2H** **Experience 6+years**  

  

Technology known

* Experience as a Python Developer, with a strong preference for Django expertise.
  
* Strong experience in front-end applications using JavaScript (Vue and/or React JS), HTML5 and CSS3.
* Exposure to Power BI tools is highly desirable.
* Familiarity with Azure cloud services is a strong advantage.
* Experience with Agile methodologies.
  

Behavioral traits required

  

1: Communication skills - ability to listen, understand, and pass on the understanding to the team  


2: Exceptional problem-solving skills  

3: Leadership and Management skills

  

4: Should be flexible and supportive when situations demand","https://www.glassdoor.co.in/Overview/W-EI_IE407296.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009232147735","","Python Microservices Developer","RARR Technologies Pvt Ltd","Bengaluru","","2024-04-11","yearly",3600000.0,3600000.0,"INR",False,"","**Experience : 8+ Years in Rest API Development including 6+ Years in Python.**


**Core Skills:**


* Python based Rest API Development


* Write Unit tests.


* Know Framework like fastAPI / dJango / flask.


* Created Microservices, know event driven development.


* Follow and Implement Design Principles and patterns.


* Exposure to JMS, Pub/sub


* Cloud - GCP services / cloudrun


* Design Microservice architecture


* Security - data level, method/route level


* Coding standards reviews.



**Background Skills**


* Worked in Collaborative remote teams, Know GitHub and worked in Enterprise projects, CI/CD pipeline understanding.


* Know how to implement Swagger, follow Design Principles and pattern. Have ability to create documentation and diagrams if required. Know containerization.","https://www.glassdoor.co.in/Overview/W-EI_IE5006861.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009230136458","","Python Developer","Technology Next","Bengaluru","","2024-04-10","yearly",50000.0,60000.0,"INR",False,"","**Role : Python Developer**  
**Job Type** : Contractual  
**Salary** : 50k to 60k (In Hand)  
**Duration**: 6+ Month  
**Location**: Bangalore, WFO  
**Timings**: Full Time (As per company timings)  
**Notice Period**: within 15 days or immediate joiner  
**Experience**: 2-3 Years

**Responsibilities:**

Python Development: Design, develop, and maintain Python applications, ensuring high performance, scalability, and reliability.  
Data Analytics: Apply data analytics skills to derive meaningful insights from large datasets, contributing to the enhancement of our AI-driven technologies.  
Collaboration with Cross-functional Teams: Work closely with various teams especially the ML team to integrate Python-based solutions into our cloud-native platform, contributing to the advancement of AI-driven technologies.  
Distributed Software Architecture and Design: Contribute to the architectural design and implementation of software solutions, adhering to industry best practices and coding standards.  
Code Reviews: Participate in and conduct code reviews, ensuring adherence to coding standards and continuous improvement.  
Problem-Solving: Identify and address technical challenges, troubleshoot issues,and propose effective solutions.  
Documentation: Create and maintain technical documentation for Python code, APIs, and integrations.  
Continuous Learning: Stay updated on Python, related technologies, and data analytics tools, incorporating new tools and practices into daily work.  
Agile Development: Contribute to Agile development processes, participate in sprint planning, and deliver features on schedule.  
Collaborative Innovation: Bring creative ideas to the table, actively contributing to the team's innovation and problem-solving initiatives.

**Requirement:**

Professional experience in Python development of 2 - 3 years.  
Solid understanding of object-oriented and functional programming, design patterns, and best practices.  
Experience with Python distribution and analytical frameworks (Pandas, Spark, Dask etc.).

Job Type: Full-time

Pay: ₹50,000.00 - ₹60,000.00 per year

Ability to commute/relocate:

* Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)

Education:

* Bachelor's (Required)

Experience:

* Python: 2 years (Required)
* total work: 2 years (Required)

Work Location: In person","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009229879579","","Frontend Developer (Angular2+)","Semantic Web India","Bengaluru","","2024-04-10","yearly",324000.0,800000.0,"INR",False,"hradmin@semanticwebindia.com","**Job Title: Frontend Developer (Angular2+)**

**Job Description:**

SWI is looking to hire an Angular 2+ Developer responsible for developing attractive and user-



friendly user interface layer for our suite of linked data applications and platforms.


You will be creating modules and components using the Angular 2+ framework. UI / UX design


capabilities especially creating innovative and intuitive user interfaces is a desirable skill. Deep


knowledge of HTML templates, animations, CSS is expected. You will work in a team with


back-end developers, and communicate with the API using standard methods. Our platform


uses Django MVC with Python / Anaconda code base for application logic with graph


databases as the backend NOSQL database.


**Qualification and Skills**:


* Bachelors or Masters degree in Engineering / Science / Mathematics/Statistics with

proven programming skills. We are willing to consider individuals without a formal


graduation degree, however they should have proficiency in programming.


* 2+ years relevant work experience.
* html/css/javascriptRESTful
* API Development
* Angular 2
* Front-End/Full-Stack (UI-AngularJS-JS-NodeJS)
* HTML5 & CSS3 jQuery
* Javascript AngularJSJavascript/Jquery/D3/HighCharts
* React | Angular2 | Typescript
* Proficiency with Typescript, Javascript, HTML 5, SCSS/CSS
* Deep knowledge of Angular2+
* Optional component Library knowledge - Angular material, pdfmake will be an added

bonus!


**Responsibilities**:


* Writing tested, idiomatic, and documented code using Angular, JavaScript, HTML and

CSS


* Coordinating the workflow between the UI/UX designs, HTML, CSS and backend

application logic


* Coordinating with the back-end developer in the process of building the RESTful API
* Communicating with external web services
* Creating modules and components using the Angular 2+ framework.
* UI / UX design capabilities especially creating innovative and intuitive user interfaces

HR ADMIN @ SEMANTIC WEB INDIA 1  



  

**Salary:** Comparable to Industry Standard (based on experience and requirements fit).


**Location**: Bangalore / Hyderabad


This is a full-time position. Interested candidates should email a cover letter, CV and 2-3
  

references to **hradmin@semanticwebindia.com**


HR ADMIN @ SEMANTIC WEB INDIA 2","https://www.glassdoor.co.in/Overview/W-EI_IE1615011.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009230173501","","Python Full Stack Developer","Cariva Technology","India","","2024-04-10","yearly",426861.0,2061307.0,"INR",False,"","Job Description Senior Technical Lead with good hands-on experience in Python, Java and Gen AI. Exposure to Langchain is a plus. Looking for extensive knowledge in implementing microservices from scratch in cloud environment. Great communication skills and stakeholder management is required. Job Responsibilities Job Description: Software Engineer (Python, Java, Gen AI) We are seeking an experienced Software Engineer with 8 to 10 years of expertise in software development. As a key member of our engineering team, you will contribute to the design, development, and maintenance of cutting-edge software products. Your role will involve collaborating with cross-functional teams, writing efficient code, and ensuring high responsiveness and performance. Responsibilities: Write Effective Code: Develop robust and scalable code using Python and Java. Implement best practices for maintainability and performance. Back-End Development: Create and enhance back-end components to improve system responsiveness. Optimize existing systems for better performance. Integration: Integrate user-facing elements into applications. Collaborate with front-end developers to ensure seamless integration. Testing and Debugging: Test and debug programs to identify and fix issues. Ensure the functionality of existing systems. Security and Data Protection: Implement security measures to safeguard data. Protect against vulnerabilities and threats. Feature Prioritization: Assess and prioritize feature requests based on business needs. Coordinate with internal teams to understand user requirements. Skills Required: Python Expertise: Proficiency in Python programming. Familiarity with popular Python frameworks (e.g., Django, Flask, or Pyramid). Knowledge of object-relational mapping (ORM). Java Proficiency: Strong understanding of Java and its ecosystem. Experience in building Java-based applications. Generative AI Skills: Familiarity with generative AI technologies (e.g., ChatGPT). Ability to leverage AI for content generation, task automation, and more. Front-End Technologies: Knowledge of front-end technologies such as JavaScript and HTML5. Team Collaboration: Excellent teamwork and communication skills. Ability to work effectively in a collaborative environment. Problem-Solving: 3/20/24, 3:58 PM Job Description Print Preview https://performancemanager8.successfactors.com/xi/ui/rcmcommon/pages/jobReqPrintPreview.xhtml?drawButtons=true&jobID=755719&isExternal=tr… 2/2 Strong analytical and problem-solving abilities. Education: Bachelor’s degree in Computer Science, Engineering, or a relevant field. If you are passionate about creating innovative solutions and thrive in a dynamic environment, we encourage you to apply! Join us in shaping the future of software development with cutting-edge technologies. Primary Skills 1. Experience: 8-10 years of experience in Python development, with a deep understanding of Python, its frameworks, and core libraries. Exposure to Gen AI is required. 2. API Development: Proven experience in developing APIs and services in Python, Java / Springboot. 3. Database Knowledge: Strong understanding of databases and SQL. 4. Problem-Solving Skills: Excellent problem-solving skills and a love for technical challenges. 5. Communication Skills: Must be able to communicate effectively with team members and stakeholders. Preferred Skills: 1. Experience with Django or Flask frameworks. 2. Familiarity with front-end technologies (like JavaScript, HTML5, and CSS3). 3. Understanding of fundamental design principles behind a scalable application. Experience 8 to 10 years of hands on experience

Job Types: Full-time, Permanent

Pay: ₹426,861.08 - ₹2,061,307.27 per year

Schedule:

* Monday to Friday
* UK shift

Tipe Lokasi:

* In-person

Education:

* Bachelor's (Preferred)

Experience:

* Angular: 2 years (Preferred)
* total work: 2 years (Preferred)
* Java: 2 years (Preferred)

Work Location: In person

**Speak with the employer**  
+91 7548090002","","","","","","","","","","",""
